branch_id,brand,branch,bill_no,ref_no,quanty,price_paid,raw_price,cost,posted,emp_no,del_code,prc_adj,two4one,disc_no,prc_lvl,prc_lvl0,iscoupon,item_adj,vat_adj,disc_adj,pricemult,invmult,gd_no,send_time,adj_no,refundflag,cou_rec,coupitem,hash_stat,ord_date,ord_time,spec_inst
11,Manam,Manam Greenhills,15960,MNM0000293,1,278.0,248.21,248.21,False,101112,0,False,False,nan,0,0,False,0,-29.79,0.0,1,1,0,10:23:41.17,0,False,0,False,0,2025-08-01,10:23:41.17,0.0
11,Manam,Manam Greenhills,15960,MNMMOD0007,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:23:41.17,0,False,0,False,0,2025-08-01,10:23:41.17,0.0
11,Manam,Manam Greenhills,15960,MNMMOD0009,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:23:41.17,0,False,0,False,0,2025-08-01,10:23:41.17,0.0
11,Manam,Manam Greenhills,15960,MNM0000291,3,268.0,239.29,717.87,False,101112,0,False,False,nan,0,0,False,0,-86.14,0.0,1,1,0,10:23:41.17,0,False,0,False,0,2025-08-01,10:23:41.17,0.0
11,Manam,Manam Greenhills,15960,MNMMOD0007,3,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:23:41.17,0,False,0,False,0,2025-08-01,10:23:41.17,0.0
11,Manam,Manam Greenhills,15960,MNMMOD0008,3,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:23:41.17,0,False,0,False,0,2025-08-01,10:23:41.17,0.0
11,Manam,Manam Greenhills,15960,MNM0000278,2,288.0,257.14,514.28,False,101112,0,False,False,nan,0,0,False,0,-61.71,0.0,1,1,0,10:23:41.17,0,False,0,False,0,2025-08-01,10:23:41.17,0.0
11,Manam,Manam Greenhills,15960,MNMMOD0007,2,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:23:41.17,0,False,0,False,0,2025-08-01,10:23:41.17,0.0
11,Manam,Manam Greenhills,15960,MNMMOD0008,2,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:23:41.17,0,False,0,False,0,2025-08-01,10:23:41.17,0.0
11,Manam,Manam Greenhills,15960,MNM0000187,1,210.0,187.5,187.5,False,101112,0,False,False,nan,0,0,False,0,-22.5,0.0,1,1,0,10:23:41.17,0,False,0,False,0,2025-08-01,10:23:41.17,0.0
11,Manam,Manam Greenhills,15961,MNM0000293,1,278.0,248.21,248.21,False,101112,0,False,False,nan,0,0,False,0,-29.79,0.0,1,1,0,10:26:13.797,0,False,0,False,0,2025-08-01,10:26:13.797,0.0
11,Manam,Manam Greenhills,15961,MNMMOD0007,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:26:13.797,0,False,0,False,0,2025-08-01,10:26:13.797,0.0
11,Manam,Manam Greenhills,15961,MNMMOD0008,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:26:13.797,0,False,0,False,0,2025-08-01,10:26:13.797,0.0
11,Manam,Manam Greenhills,15961,MNM0000293,1,278.0,248.21,248.21,False,101112,0,False,False,nan,0,0,False,0,-29.79,0.0,1,1,0,10:26:13.797,0,False,0,False,0,2025-08-01,10:26:13.797,0.0
11,Manam,Manam Greenhills,15961,MNMMOD0007,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:26:13.797,0,False,0,False,0,2025-08-01,10:26:13.797,0.0
11,Manam,Manam Greenhills,15961,MNMMOD0009,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:26:13.797,0,False,0,False,0,2025-08-01,10:26:13.797,0.0
11,Manam,Manam Greenhills,15961,MNM0000291,3,268.0,239.29,717.87,False,101112,0,False,False,nan,0,0,False,0,-86.14,0.0,1,1,0,10:26:13.797,0,False,0,False,0,2025-08-01,10:26:13.797,0.0
11,Manam,Manam Greenhills,15961,MNMMOD0007,3,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:26:13.797,0,False,0,False,0,2025-08-01,10:26:13.797,0.0
11,Manam,Manam Greenhills,15961,MNMMOD0008,3,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:26:13.797,0,False,0,False,0,2025-08-01,10:26:13.797,0.0
11,Manam,Manam Greenhills,15961,MNM0000278,2,288.0,257.14,514.28,False,101112,0,False,False,nan,0,0,False,0,-61.71,0.0,1,1,0,10:26:13.797,0,False,0,False,0,2025-08-01,10:26:13.797,0.0
11,Manam,Manam Greenhills,15961,MNMMOD0007,2,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:26:13.797,0,False,0,False,0,2025-08-01,10:26:13.797,0.0
11,Manam,Manam Greenhills,15961,MNMMOD0008,2,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:26:13.797,0,False,0,False,0,2025-08-01,10:26:13.797,0.0
11,Manam,Manam Greenhills,15962,MNM0000364,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,09:13:36.947,0,False,0,False,0,2025-08-01,09:13:36.947,0.0
11,Manam,Manam Greenhills,15962,MNM0000367,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,09:13:36.947,0,False,0,False,0,2025-08-01,09:13:36.947,0.0
11,Manam,Manam Greenhills,15963,MNM0000280,1,248.0,221.43,221.43,False,101112,0,False,False,nan,0,0,False,0,-26.57,0.0,1,1,0,10:44:04.457,0,False,0,False,0,2025-08-01,10:44:04.457,0.0
11,Manam,Manam Greenhills,15963,MNMMOD0007,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:44:04.457,0,False,0,False,0,2025-08-01,10:44:04.457,0.0
11,Manam,Manam Greenhills,15963,MNMMOD0008,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:44:04.457,0,False,0,False,0,2025-08-01,10:44:04.457,0.0
11,Manam,Manam Greenhills,15963,MNM0000293,1,278.0,248.21,248.21,False,101112,0,False,False,nan,0,0,False,0,-29.79,0.0,1,1,0,10:44:04.457,0,False,0,False,0,2025-08-01,10:44:04.457,0.0
11,Manam,Manam Greenhills,15963,MNMMOD0007,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:44:04.457,0,False,0,False,0,2025-08-01,10:44:04.457,0.0
11,Manam,Manam Greenhills,15963,MNMMOD0009,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:44:04.457,0,False,0,False,0,2025-08-01,10:44:04.457,0.0
